period,홍대,연남,이태원,익선,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
2020-09-18,9184.457186027052,6655.048707681709,4486.5305775779225,6867.83138061524,4813.856733205689,6909.049972952044,3564.72754374141,3497.757054192203,7226.414774594752,3064.9503893540495,2943.151791380567,1366.9856894263457,2810.8002365846482,3791.0192776081467,3761.0297749775996,10070.963723480994
2020-09-19,11280.34182754526,8858.02312028769,5371.289134829347,8476.67771632787,4876.296495196776,9370.562676228552,4132.551866572763,3621.419658194806,8385.90222343588,4629.990197592577,4097.330171049108,1242.5317727825723,2831.93316939778,4803.501881872254,4099.932306209899,10351.326900267295
2020-09-20,9256.905146272615,7613.648525681293,4915.748658228745,7007.952094735997,3617.441627729944,7956.120248544783,3710.4530051953966,3052.368735643539,6818.13480829687,4000.7673276233318,3751.0762804006827,1048.8252071061859,2488.7607436163144,4169.817284103144,3513.3679006105026,7849.220992388745
2020-09-21,7440.739328074163,5666.367061510103,3399.3258685958363,5752.930429501585,4182.415361780999,5533.6478044222795,3075.293724166025,2891.5051376984666,5844.686665812519,2579.0075960547924,2449.0833884732706,1142.1658316713697,2657.8311726395204,3301.399490813463,3111.2973030837647,8211.271749648038
2020-09-22,7641.979586255004,5843.847256697633,3641.2647730528206,6276.108346464957,4351.606249470644,6146.2719170269975,3173.7832409656194,3047.3410538277167,6707.513028862882,2759.357172201891,2466.2944866653966,1192.348802226971,2715.1934831004824,3792.026509468928,3094.249846301357,8520.883499860689
2020-09-23,7912.637829230125,5859.890898389379,3654.416812226058,6354.733516109988,4439.221712133738,6271.399553430829,3311.468009393198,3032.2609710684155,6558.68158377746,2982.79191221493,2683.9680992695144,1236.509965981783,2793.6904680041134,3877.658734711167,3399.0650439851956,9039.259375576636
2020-09-24,8606.905715200572,6143.6628108121295,3928.759556930196,6690.417134050415,4743.361220449503,6109.235321697772,3081.323428229113,3106.65999626519,6699.470373980564,3351.5063196934016,2881.3940259085357,1171.271730094794,2769.5375495722274,3747.699549056637,3494.3193195103736,9335.762943493897
2020-09-25,10110.147700654312,7251.666451038688,4961.304537649135,7516.0080318329265,5277.115665317442,7322.473258494479,3603.9227953693944,3401.2385991563438,7501.958012185747,3717.2181737282385,3233.7210921029014,1306.7661247596243,2948.6728556950784,4287.689687428299,3762.0303371364607,10810.2011707171
2020-09-26,12396.201818377609,9772.502923634973,6694.387939177654,9791.172071301033,5334.519103549272,10007.213212926701,4753.640750512639,3885.8380955673565,9379.461706432974,5488.657137462755,4702.766497982376,1262.6049610048126,3260.6492131933055,5741.436190631674,4549.131655423884,11484.889609159532
2020-09-27,10580.036000179158,8969.325884524174,5820.766484735879,8458.532861431551,4439.221712133738,9264.454253445527,4158.681671788434,2973.9478612629237,7500.951504498719,5003.715195311376,4310.9537441297225,1176.2900271503543,2736.328157543152,4902.2325005736075,3689.838261371387,8849.661572174788
2020-09-28,8934.928069685573,6618.950513875282,4162.602080726218,6682.3523316122155,4583.234531901665,6648.784177377781,3421.013071250744,2994.055625838047,6648.180811704729,2905.641913815826,3096.029794913474,1180.304814460685,2618.581809372936,3478.7117117315875,3548.463376334178,9181.459297594292
2020-09-29,9694.593537188064,7622.673074132899,4453.137586752281,7233.755155930025,4628.553160360989,7092.237082130688,3769.747270367006,3092.5842647937866,7578.3867501025115,3263.3364011660765,3295.480113401142,1291.7112335929442,2897.3470332125503,3773.8919567059074,3619.651099932213,9537.464470777693
2020-09-30,8837.323243041828,7591.588518355143,4951.193220624586,7362.784390224175,3466.3791383239122,6916.0569490707985,3321.518603773968,2462.202734541085,6543.598078392903,4175.1075738825375,3811.8231057745998,897.2724115294459,2227.103546727697,3715.45937097372,2890.70745712857,7448.843868791639
