,period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
1552,2020-04-01,278755.03119048144,211191.69776801785,177553.13198174466,170944.89420468963,118681.0357306611,202356.4197709781,78469.47352763418,84975.52458984182,159227.99399239538,64452.01800995276,62084.40125888709,33900.29235866451,73712.69660608235,103326.56385149805,119973.41726884322,301273.00846178306
1553,2020-04-02,289608.11528634286,221194.25731998796,177521.99915032627,170523.20410991926,128080.00896895207,222975.0747699425,92023.58055306708,93186.30227181298,163537.94903397537,69633.3603250122,65915.64265190372,40173.65798981378,78809.85504557459,100864.26316289771,125571.70269929575,314176.9564082299
1554,2020-04-03,352051.3817620185,262552.07880798477,192450.1918154483,200218.72964143223,140622.08456004932,256641.27436529452,105788.05164910568,91978.79441302195,213690.4607106226,81822.94591148973,77258.56591272404,38303.71289759812,91447.21061995743,116388.7400712248,146219.49727967134,371123.8407678451
1555,2020-04-04,392938.63885440724,326909.8982631229,263598.2244160889,229281.72003078964,136904.8063262509,330018.6868603586,115104.63010941549,97472.77948611128,232135.94058162387,109316.90589758354,101030.44098269667,34443.17674187558,93377.47477965252,126658.3770133903,160576.60158618318,350435.0985652865
1556,2020-04-05,306474.1280178229,262851.55895579973,210775.32230866674,182118.31849381543,111518.45357303992,284621.68285515264,102662.47998100457,76372.28127945076,177100.7396905777,90718.05061287303,85313.24334490237,31789.066567666137,87043.7384161632,114737.2860682471,123645.46109499167,241630.31430030696
1557,2020-04-06,281280.3296914777,216612.21105841835,177461.46308923492,160433.99594808018,116625.93717684461,190775.18930832442,88898.04140878642,75557.23904907964,162091.24196637978,63283.98798409774,55568.229968894986,33297.08498980784,83153.04074807228,99633.11281859754,110672.93893509732,281038.69037774473
1558,2020-04-07,288465.5930825936,211161.74975323636,160622.92529624503,182178.52747825196,132039.06977138107,200022.20382830457,92714.80930887767,86665.96442884402,173936.11203126554,67986.08832432106,59399.50878149431,38756.11842424063,91447.21061995743,104437.62743617607,119281.12619553448,347890.7006170238
1559,2020-04-08,289036.8541844682,222182.54180777748,164020.72792521413,179769.145684075,140229.2012059105,203792.8424224706,97433.20255920563,89382.75703772582,192140.54453935262,72628.35442351388,64588.29521482165,39902.21017630838,85264.26880386705,108911.77293570717,123013.35440587031,343831.8070173275
1560,2020-04-09,286872.37524359697,225057.4738417504,162382.7950722573,183624.11111401516,133519.95692450972,198256.625264177,93977.05878015271,89986.48872858843,188825.08607400637,70082.55894675704,65040.77280867586,35951.19516401728,95126.8272393529,112184.92030993014,128701.97329765517,313298.46596499917
1561,2020-04-10,346940.50202671235,268960.9539712258,171696.7004715948,213199.21867665515,153375.67993904068,213219.380639889,106599.48844526238,104445.9383357601,210766.8804142246,86884.43039562415,76715.57034834937,40927.66720088463,89547.06361285814,119031.30142834494,155700.52876597943,361945.60492008814
1562,2020-04-11,402649.41995645873,337122.0939185635,205374.64085844735,243316.3207010811,150353.48663039756,284322.41842475894,120033.38743034916,111811.47385969726,256549.10472687823,106471.62363423413,116385.64157757453,38937.076137377735,87435.83555706337,146627.1082604295,165181.67402238998,359855.6310903458
1563,2020-04-12,327819.6958593601,296842.3235776496,221455.6130869229,209012.87662859936,123123.66167035131,244790.78749048169,111498.1937561095,88748.82541920032,202388.01769397885,93982.55126116403,92281.8922287487,36101.99700623144,80468.69945917263,119241.45325768371,137972.41632435858,270467.20149606804
1564,2020-04-13,323941.4336128649,252819.05138904817,176733.30075439348,195580.70660824524,146364.23408662344,197149.35852531967,100107.96155218838,96114.40542020327,192110.37837814578,77719.81914445155,70923.43056377284,38756.11842424063,79895.69061827776,111073.85672525212,139507.40254639336,319962.47310057783
1565,2020-04-14,356350.5270920131,279352.83771535545,199094.4569206582,234220.9015880166,168728.35801149558,241319.4133267094,117568.99250797211,108279.63902044433,222973.4624868518,87273.79477633849,87515.46062521232,43310.340805388405,97117.43009644955,133174.51954284418,153021.81170417918,384391.13945138274
1566,2020-04-15,351600.4669168319,324723.6931840733,231528.81365252024,245725.70249525804,132099.52429346266,284561.8416226732,124841.93671093672,98408.57695006808,220833.49756498012,104974.12658498329,100758.924490718,35317.83192423766,83514.96854027166,137918.99078061164,145647.5749747374,306876.94406444835
1567,2020-04-16,316335.0679283103,245182.38500481664,179798.15504736028,215608.6004708321,143009.61194592304,203254.15479416263,105427.42752806735,102363.032868338,201845.4496823667,77959.40857372561,70350.23739616957,35921.03929309434,79986.1464682751,126027.79099628745,131410.95320670278,345891.42305326
1568,2020-04-17,368256.03810656234,267673.1893356213,183165.6896457837,223740.22142548283,155974.76263250422,207383.8990512017,114533.60939395102,110121.03402069508,231744.06241267564,78738.07421886628,75207.18697022638,40414.9386885965,96604.70775685126,130682.1971643383,160787.19004578787,423284.7529381315
1569,2020-04-18,453728.40475777263,401030.615766928,301099.4494612953,303339.79330440523,185289.91340740773,350308.1859466879,147772.69369303205,123071.10992364438,296122.45643899444,144448.0629650838,133731.8633280755,40897.51132996169,102214.58853594179,172691.41732007192,173157.75459370576,434855.78632282733
1570,2020-04-19,348984.85392083484,304508.93797666265,214689.41105865763,228558.98501383676,125904.03689066815,217887.7542572395,122227.28173812701,93035.34711056443,193225.53959920676,91676.40832996924,88088.6537928156,34895.58226851808,81403.68828837188,132694.04197526904,144262.9928281199,322749.3562838683
1571,2020-04-20,289638.1470480301,229340.03995550502,174003.1243991745,204977.17064349222,138929.6420993309,182455.91782976338,97733.72266007091,91254.35196563942,199163.05771225304,66518.57151187348,63110.072020344574,36735.3714898108,77633.61581897907,111674.42105244943,132313.83273961622,348375.2939716285
1572,2020-04-21,344896.15013258986,237845.19876840006,210320.43704960906,221903.05218716752,153496.5534635081,200890.04736924762,112159.37050183356,108551.30493821278,224209.14738936984,75263.90126181649,68660.85549658835,42827.76816402321,91688.5132134587,119301.49663749478,142818.34006741742,384360.97021529835
1573,2020-04-22,341799.59052971896,235179.82545284653,213840.17660163355,235094.38626977563,160931.1454508007,193199.19623371537,115405.15021028077,105532.64648389966,217035.9443738055,75233.98414130123,112313.04387622513,45331.08773981823,93437.81347705408,119571.8223757312,147182.6749668746,406776.14695278305
1574,2020-04-23,368706.9529517489,216013.25076278835,222517.58855863937,264970.5387545981,175860.71290807595,216870.2785010996,115765.80685513956,106166.57810242515,194099.65345735353,86015.88715636168,120066.04463277885,46899.42914760555,96996.80489775143,128760.41742312418,158981.31720985856,431705.5524024461
1575,2020-04-24,408662.3485920773,247009.21390648815,261413.73741156457,296653.7559855177,199735.9512471175,256671.2241155325,130522.02680785402,115554.61923845869,219688.17018271238,103656.38472397598,122750.93711017164,46054.94107996614,107191.1217767359,158848.5466337146,171261.54829644415,486653.1591982974
1576,2020-04-25,481056.8694732412,320381.23104075575,331895.00853932777,361556.2011616322,194144.90250605164,343964.0247479272,151709.70215728984,125938.85769377474,235270.40207972928,145496.29827630182,167338.27828074544,41138.792028744414,113796.27788632226,184882.83400345154,189441.21427462416,468872.5427965433
1577,2020-04-26,385753.3754632914,272764.27446342533,301159.9855223866,301291.7790187047,157757.8513566493,322118.36227715004,144977.72665970318,99344.37441402487,179813.4387852683,144567.85767972088,159856.7940161704,37368.73472959042,102908.27477163977,167136.22992576836,154195.57785098715,358462.1894987005
1578,2020-04-27,333591.9319816025,201698.2544673333,227493.65278034675,262380.5300071116,166975.49654839127,220251.86168215444,115254.89015984813,100461.28248982731,172700.42712874745,97037.44271698422,104560.0057000887,38876.76439553186,88702.58282976123,131763.23905911078,146490.38389356586,391751.867382784
1579,2020-04-28,371923.85881130793,207987.26018639733,239568.86736632168,295057.5362868058,181240.20634155205,243593.7880369035,118380.42930412879,113471.75824810236,188734.72855375608,106291.9315622786,105827.03276987895,43491.29851852551,101098.63581064284,147017.3902292015,150282.79648808908,411501.5921122177
1580,2020-04-29,411037.26907469827,250243.59950289023,282015.02380181703,347973.3950783295,201005.24757296065,276332.302858833,134128.43063733957,120656.18316019389,193225.53959920676,131300.05654522206,127728.56483839483,45089.807041035514,106195.79425013508,162992.32301519823,158289.0261365498,466025.1325833586
1581,2020-04-30,467557.9214097561,311756.28016873467,404864.3117779447,451124.56323352066,211401.5428271191,405071.94520482933,160184.759287536,118180.85654141767,201483.8786379954,211445.81333550543,197837.48334581434,41410.22859845006,107703.8441163342,205001.67370001838,169094.455385288,424072.35855765815
1582,2020-05-01,453337.5534359605,304089.6657697216,366726.59329040657,434530.058307961,202546.55372847515,362607.62773508776,151890.01421780902,110694.56578389484,207361.06442862804,204916.74892263545,175634.31202125654,39660.92947752565,108307.02230592983,195422.66615476683,171171.32860521428,449516.71515573567
1583,2020-05-02,460282.3435236394,289684.8254299221,384081.4172044182,402364.94199783454,199766.1429884626,351864.34933113575,153723.28440454855,112143.53963279143,198469.799857977,178501.00448456287,157775.21747044413,41078.46904309879,108819.79684163316,195182.49263552253,168402.16431197926,438823.98365654505
1584,2020-05-03,426279.8129955552,276178.34814851644,333260.5291173737,359327.5599226222,174923.8454142901,337470.1730659731,148133.31781407038,99525.48502587051,175774.69726780936,162447.8815603212,151440.08212149292,36192.48710659974,104446.4939865397,179748.08079691205,163947.6097212922,365005.1425744908
1585,2020-05-04,437133.11630135594,273842.4029955593,327222.48942394985,376946.07199103216,201216.80288055047,343874.2337652098,152941.86709465794,111026.631556989,199374.07987733057,152025.3626891718,137713.94305890444,47743.91721524495,116510.73632781766,168997.9662871714,160004.67928124923,437551.7846824138
1586,2020-05-05,420898.42819512496,279622.36984838895,320851.50139452366,360411.77604990895,167579.9352101199,351624.9261332215,143565.2171379955,113743.4241658708,179783.2726240615,145466.31803949858,153521.6212476365,39510.12763531148,108638.83294553348,200287.22415215647,156543.3376848079,379302.3435548574
1587,2020-05-06,324542.72647642676,175314.20821493346,210775.32230866674,255845.01514931538,156941.85738733088,210107.11213898982,114924.28552507589,95601.22903526346,163357.09303010465,93922.65390384551,90441.70941093785,37459.224829958715,86500.84672786412,127949.57073750155,134932.47918733148,375455.38883865357
1588,2020-05-07,336508.3010143503,182172.3035998971,468549.1128468969,275481.4370112075,169060.78684355284,216062.2761926359,107170.50916072686,105834.51232933097,166521.72068941683,93802.85918920848,84679.72981000725,42073.75895295236,106738.68593843415,131402.84825115776,135052.8479557063,389752.7783767457
1589,2020-05-08,377485.6533918006,187952.1930676756,539758.5463095015,247894.13474983157,163530.1926245685,215433.8558496071,101851.04318484788,111600.16332018876,178637.94524179376,98834.42655282763,88873.00566552301,47593.11537303078,110931.02489742792,133624.9754205138,139748.2538532454,387632.25819546793
1590,2020-05-09,387406.8760356017,223440.28104354942,1703137.97396007,263314.1100714497,152227.257137665,216062.2761926359,86283.38643597672,113441.5583204395,183038.257803624,102278.68238936216,102357.78841977875,40595.90764553335,109996.03606822866,163082.51861400137,145075.76643990586,417287.10880456556
1591,2020-05-10,332509.6925111669,208556.2724672458,876083.929719842,272921.53275593935,145125.1295021254,268042.92286251334,83278.02280822172,91918.43903476199,162844.69117969932,112850.97621195186,113972.22817257773,39208.52395088314,97117.43009644955,156566.3760845475,112809.88276910853,284219.2820919358
1592,2020-05-11,301693.8168710152,153841.7137717509,187353.05547155833,218078.19124944558,144248.68101072538,192510.87639021061,66748.6366889408,90982.6415708052,151029.98727602037,76671.58383323356,81693.16065698987,38273.54578287544,79895.69061827776,115548.0022247832,100318.94945281584,277858.09866355365
1593,2020-05-12,280228.12198272924,151655.50869270132,127975.82754969056,216993.97512215882,155128.541402145,202565.89321865435,64224.17027021113,98136.91103229963,159469.04135530957,84578.28746442936,81301.0034304275,42797.612293100276,96544.36905944967,115548.0022247832,113833.2448404992,301818.31740400736
1594,2020-05-13,279656.8608808546,139257.10795821116,144966.5702962815,255061.95754606853,159994.2424373191,213518.6450702827,61278.91066262919,100340.52725624164,161488.48259572414,86824.53303830563,89747.83808916822,40414.9386885965,94976.03269195401,122454.42672300906,107663.03710511271,284673.7062104561
1595,2020-05-14,208585.05277356316,118682.97657342248,113321.77676122496,232986.1629996386,152559.68596972225,203403.78700935948,57852.81889366281,95631.38448586056,161910.38596250906,86315.37394295426,84709.88999365317,42978.57000623739,95096.65789065213,121073.1679291812,102455.89328682706,276888.91195434437
